Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:50:40.441,cd:75:20:e1:ef:ef, 2015-01-01 00:29:00.115, 0.214, 0.971, 0.085, 0, 0, 0, , , , , , , 0.934, 0.456, -14.952, -21.800, -37.033, -52.180, 28.89, 0.73825, 0.65274, -0.16824, -0.02179,
 16:50:40.441,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.825, 0.124, 0.945, -0.225, 0, 0, 0, , , , , , , -2.455, 1.89, 159.763, 0.527, -31.007, 20.927, 27.77, 0.06302, 0.17389, 0.76279, 0.61957,
 16:50:40.502,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:59.145, -0.011, 0.989, -0.126, 0.916, 0, 0, , , , , , , 2.016, -0.319, 106.024, 9.480, -67.913, 7.900, 29.58, 0.3999, 0.44855, 0.60355, 0.5239,
 16:50:40.529,fe:77:90:13:0e:6b, 2015-01-01 00:29:01.240, 0.126, 0.94, -0.225, 0, 0, 0, , , , , , , -2.45, 1.879, 159.752, 0.527, -31.007, 20.927, 27.77, 0.06302, 0.17389, 0.76279, 0.61957,
 16:50:40.560,cd:75:20:e1:ef:ef, 2015-01-01 00:29:00.115, 0.216, 0.968, 0.09, 0, 0, 0, , , , , , , 0.934, 0.461, -14.941, -21.800, -37.033, -52.180, 28.89, 0.73825, 0.65274, -0.16824, -0.02179,
 16:50:40.561,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:59.145, -0.018, 0.999, -0.122, -5.127, 0.061, 0, , , , , , , 1.747, -0.352, 105.809, 9.580, -67.967, 7.960, 29.58, 0.3999, 0.44855, 0.60355, 0.5239,
 16:50:40.620,fe:77:90:13:0e:6b, 2015-01-01 00:29:01.240, 0.132, 0.942, -0.214, 0, 0, 0, , , , , , , -2.56, 1.917, 159.747, 0.527, -31.007, 20.927, 27.77, 0.06302, 0.17389, 0.76279, 0.61957,
 16:50:40.680,cd:75:20:e1:ef:ef, 2015-01-01 00:29:00.115, 0.224, 0.967, 0.094, 0, 0, 0, , , , , , , 0.939, 0.467, -14.936, -21.800, -37.033, -52.180, 28.89, 0.73825, 0.65274, -0.16824, -0.02179,
 16:50:40.683,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:59.145, -0.014, 0.985, -0.12, -4.211, -0.244, 0, , , , , , , 1.412, -0.374, 105.771, 9.580, -67.967, 7.960, 29.58, 0.40381, 0.44833, 0.59888, 0.52643,
 16:50:40.740,fe:77:90:13:0e:6b, 2015-01-01 00:29:01.240, 0.132, 0.952, -0.215, 0, 0, 0, , , , , , , -2.587, 1.802, 159.697, 0.527, -31.007, 20.927, 27.77, 0.06302, 0.17389, 0.76279, 0.61957,
